system:index,area_km2,year,class,band,class_name,.geo
3_0_7,5403.296516,1988,21,classification_1988,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,67.24590084,1988,24,classification_1988,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,189.6773757,1988,25,classification_1988,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,288.3636396,1988,29,classification_1988,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,224.1109951,1988,33,classification_1988,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,1539.197519,1988,39,classification_1988,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,34.3985789,1988,41,classification_1988,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,5490.038008,1989,3,classification_1989,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,8068.979956,1989,4,classification_1989,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,0.3054621683,1989,9,classification_1989,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,805.0392986,1989,11,classification_1989,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,914.2739123,1989,12,classification_1989,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,4967.579142,1989,15,classification_1989,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,0.02150639093,1989,20,classification_1989,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,4936.727715,1989,21,classification_1989,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,69.92872521,1989,24,classification_1989,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,197.6189692,1989,25,classification_1989,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_10,288.3311551,1989,29,classification_1989,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,282.3361886,1989,33,classification_1989,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,1578.319003,1989,39,classification_1989,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,125.521922,1989,41,classification_1989,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,5510.762378,1990,3,classification_1990,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,7775.097002,1990,4,classification_1990,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,0.533646159,1990,9,classification_1990,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,707.9248518,1990,11,classification_1990,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,1099.476482,1990,12,classification_1990,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,5593.783208,1990,15,classification_1990,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,0.02150639093,1990,20,classification_1990,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,4469.075813,1990,21,classification_1990,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,72.23532722,1990,24,classification_1990,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,184.0798506,1990,25,classification_1990,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,288.3767239,1990,29,classification_1990,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,206.8460125,1990,33,classification_1990,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,1625.208805,1990,39,classification_1990,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,191.599355,1990,41,classification_1990,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,5469.078924,1991,3,classification_1991,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,7589.905345,1991,4,classification_1991,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
